,Year,Month,temp_avg,temp_high_max,temp_low_min,precip_total,humidity_avg,snow_days,rain_days,visibility,wind,temp_range
0,2009,1,-2.096774193548387,8.0,-14.0,75.74,57.354838709677416,7,5,14.0,12.0,22.0
1,2009,2,2.7857142857142856,18.0,-11.0,21.87,54.0,2,5,15.178571428571429,12.214285714285714,29.0
2,2009,3,5.967741935483871,21.0,-11.0,44.46,57.064516129032256,2,7,14.258064516129032,11.387096774193548,32.0
3,2009,4,12.733333333333333,33.0,1.0,119.14999999999999,55.7,0,12,14.066666666666666,11.366666666666667,32.0
4,2009,5,17.0,30.0,6.0,131.32,68.51612903225806,0,14,12.451612903225806,8.0,24.0
5,2009,6,19.866666666666667,29.0,10.0,255.55,78.86666666666666,0,20,11.833333333333334,7.379310344827586,19.0
6,2009,7,22.741935483870968,30.0,14.0,180.60000000000002,70.80645161290323,0,13,12.935483870967742,7.903225806451613,16.0
7,2009,8,24.387096774193548,33.0,17.0,107.47,72.48387096774194,0,13,14.483870967741936,6.806451612903226,16.0
8,2009,9,19.233333333333334,29.0,9.0,57.410000000000004,69.7,0,7,15.033333333333333,9.266666666666667,20.0
9,2009,10,12.870967741935484,23.0,3.0,141.75,69.35483870967742,0,14,14.064516129032258,9.67741935483871,20.0
10,2009,11,10.8,21.0,2.0,40.93,66.6,0,10,14.666666666666666,11.133333333333333,19.0
11,2009,12,2.3548387096774195,19.0,-9.0,184.67000000000002,61.74193548387097,5,8,13.774193548387096,13.451612903225806,28.0
12,2010,1,0.45161290322580644,14.0,-11.0,52.89,58.12903225806452,6,5,14.741935483870968,11.903225806451612,25.0
13,2010,2,0.8214285714285714,8.0,-8.0,169.94,63.535714285714285,10,4,13.0,12.928571428571429,16.0
14,2010,3,9.258064516129032,23.0,-2.0,271.54,58.29032258064516,1,13,13.838709677419354,12.806451612903226,25.0
15,2010,4,14.466666666666667,33.0,4.0,75.96,52.8,0,7,14.466666666666667,10.2,29.0
16,2010,5,18.612903225806452,33.0,5.0,76.51,62.74193548387097,0,9,14.935483870967742,8.96774193548387,28.0
17,2010,6,23.8,34.0,14.0,55.9,64.06666666666666,0,10,14.233333333333333,8.0,20.0
18,2010,7,27.548387096774192,39.0,16.0,66.07000000000001,58.03225806451613,0,10,15.0,7.516129032258065,23.0
19,2010,8,25.29032258064516,36.0,16.0,105.17,62.935483870967744,0,8,15.0,8.096774193548388,20.0
20,2010,9,21.8,36.0,12.0,93.22999999999999,63.56666666666667,0,8,13.7,8.733333333333333,24.0
21,2010,10,14.612903225806452,24.0,6.0,124.74,63.645161290322584,0,10,14.225806451612904,10.03225806451613,18.0
22,2010,11,9.0,18.0,1.0,54.62,59.53333333333333,0,8,14.833333333333334,10.1,17.0
23,2010,12,0.6129032258064516,16.0,-7.0,107.73,58.32258064516129,4,3,14.193548387096774,13.290322580645162,23.0
24,2011,1,-1.096774193548387,12.0,-14.0,127.54,61.516129032258064,12,4,12.387096774193548,10.387096774193548,26.0
25,2011,2,2.4285714285714284,19.0,-9.0,88.15,52.607142857142854,3,8,13.642857142857142,12.25,28.0
26,2011,3,5.838709677419355,25.0,-7.0,157.24,56.096774193548384,2,9,14.0,12.290322580645162,32.0
27,2011,4,12.5,28.0,2.0,135.91,64.46666666666667,0,13,13.066666666666666,11.766666666666667,26.0
28,2011,5,18.161290322580644,32.0,8.0,129.82,71.87096774193549,0,10,12.03225806451613,8.838709677419354,24.0
29,2011,6,22.466666666666665,35.0,13.0,82.56,68.66666666666667,0,9,12.4,7.433333333333334,22.0
30,2011,7,26.870967741935484,40.0,17.0,76.98,63.83870967741935,0,8,13.03225806451613,6.870967741935484,23.0
